"Angle","Dmax","d1","d2","d3"
10,3.12846347819678,3.1284634778973,3.65185951298504e-10,3.12846347667339
10.5,4.0262181921456,4.02621819146121,2.02352312682199e-09,4.02621819213946
11,4.84170149010778,4.84170148995635,4.00058849571441e-11,4.84170148789609
11.5,5.58558962288109,5.58558962137604,4.2499262165135e-09,5.58558961880275
12,6.26677947720936,6.26677947356497,4.72213159078944e-10,6.26677947244352
12.5,6.89274445018796,6.89274444750484,5.54013528026375e-09,6.89274444259318
13,7.46980819880598,7.46980818241107,2.24444579644475e-08,7.46980817521871
13.5,8.00335755625623,8.00335754913481,2.55858723581499e-08,8.00335753839744
14,8.4980098233212,8.49800977171328,2.35071487602965e-08,8.49800980154885
14.5,8.95774544774758,8.95774543338932,1.6243213257484e-08,8.95774543170359
15,9.38601416774527,9.38601414563095,7.47116643588345e-09,9.38601416337113
15.5,9.78582061158278,9.78582053148726,8.0108736963678e-08,9.78582054790841
16,10.1597938472579,10.1597937416608,1.37854596332943e-07,10.1597937091123
16.5,10.5102442867731,10.5102442202112,5.75863955430005e-08,10.5102442286704
17,10.8392105484794,10.8392104268188,1.25623489754966e-07,10.8392104339725
17.5,11.1484982858745,11.1484982632434,4.27471323742425e-08,11.1484981547286
18,11.439712544935,11.4397122510087,3.10603682124756e-07,11.4397121668295
18.5,11.7142848743113,11.7142847857998,2.41893817695765e-07,11.7142845611873
19,11.9734961549667,11.9734954866216,3.73833070718655e-07,11.9734957343743
19.5,12.2184959175619,12.2184945067949,1.4927022135e-06,12.2184942578893
20,12.450318762232,12.4503185762281,2.81415391481644e-07,12.4503185496961
20.5,12.669898375469,12.6698591661001,3.35794046845483e-05,12.6698652885533
21,12.8780795445904,12.6937536149401,0.184325646405714,12.6937540203985
21.5,13.0756284957714,12.4153433058617,0.660285312712199,12.4153430634219
22,13.263241822343,12.1580408003163,1.10520151272629,12.1580384476158
22.5,13.4415542226507,11.9141760529926,1.52738150232375,11.9141727620197
23,13.6111452286265,11.6843734067588,1.92677178146983,11.6843735048684
23.5,13.7725450753926,11.4664425875055,2.30610295112717,11.4664419727189
24,13.9262398371652,11.2654446042375,2.66079531890539,11.2654433512492
24.5,14.0726759342701,11.0728421944776,2.99983541573141,11.0728370089866
25,14.2122640993167,10.8871673372914,3.3250961639578,10.887168166278
25.5,14.3453828767614,10.7128922028531,3.63249048185991,10.7128912274302
26,14.472381718676,10.5461818915669,3.92619983854107,10.5461817752707
26.5,14.5935837300491,10.3923801875201,4.2012032415898,10.3923816210657
27,14.7092881090547,10.2375652635017,4.47172226703461,10.2375636350227
27.5,14.8197723211083,10.096342973111,4.72342947404412,10.0963397782527
28,14.9252940399874,9.96127600665971,4.9640172305386,9.96127682367003
28.5,15.0260928846234,9.8298778852753,5.19621452102483,9.82987777468483
29,15.1223919762236,9.70211931986994,5.42026971254355,9.70212229925975
29.5,15.2143993370418,9.58709529155462,5.62730259014594,9.58709668554222
30,15.3023091492708,9.47452418099056,5.82778459084405,9.47452348805509
30.5,15.3863028901085,9.36493553887429,6.0213673595379,9.36493417875309
31,15.4665503569779,9.26061068727115,6.20593907476635,9.26061060148993
31.5,15.5432105951066,9.16067465594268,6.38253285293839,9.16067732010203
32,15.6164327381446,9.06407803592806,6.55235483173335,9.06407782044979
32.5,15.6863567711863,8.97186087994172,6.71449493467334,8.97185986517941
33,15.753114224425,8.88195798062979,6.87115579651129,8.88195480952383
33.5,15.8168288046893,8.79678950593814,7.02003747721051,8.79679128705582
34,15.8776169712544,8.71423297737919,7.1633831426507,8.71423337568974
34.5,15.9355884615818,8.63617972737513,7.29940676803349,8.63618166948087
35,15.990846771995,8.55955121814436,7.43129375090215,8.5595509732454
35.5,16.043489597734,8.48329202090839,7.56019676343647,8.4832921397423
36,16.0936092363374,8.41456006027913,7.67903420665248,8.4145722845586
36.5,16.1412929578689,8.34479550339392,7.79649657585736,8.34478630932314
37,16.1866233451249,8.27713849946298,7.90948049522281,8.27714294739937
37.5,16.2296786066249,8.2125912929728,8.01708592706754,8.21259127817187
38,16.2705328648898,8.14983057430562,8.12070221852786,8.14983011125058
38.5,16.3092564222582,7.95886888459799,7.95886870570376,7.95886870183904
39,16.3459160062526,7.74764570600613,7.74764575507984,7.7476456793064
39.5,16.3805749963103,7.54494067184001,7.54494082688159,7.54494117109869
40,16.4132936335082,7.35024690535421,7.35024714954897,7.35024721573657
40.5,16.444129214752,7.16309821804505,7.16309824423413,7.16309840623263
41,16.4731362727548,6.98306541513088,6.98306547587532,6.98306548764549
41.5,16.5003667430049,6.80975322353233,6.80975337813412,6.80975361475514
42,16.5258701188064,6.64279586438124,6.64279623851943,6.64279618929203
42.5,16.5496935953746,6.48185481210746,6.48185456745792,6.48185446943464
43,16.5718822038775,6.3266149691458,6.32661521536798,6.32661515459574
43.5,16.5924789362323,6.17678527915004,6.17678555825848,6.17678537170992
44,16.6115248613915,6.03209351071723,6.03209347280463,6.03209360314172
44.5,16.6290592337897,5.8922858965424,5.89228594883106,5.89228610650307
45,16.6451195945587,5.75712667235563,5.75712647353533,5.75712658985084
45.5,16.6597418660687,5.62639397547776,5.62639398571837,5.62639373522622
46,16.6729604403027,5.4998805083144,5.49988080444441,5.4998808168972
46.5,16.6848082615284,5.3773934190066,5.37739339908194,5.37739335990723
47,16.6953169036925,5.25874933401148,5.25874930460009,5.25874954101941
47.5,16.7045166429255,5.14377789117051,5.14377769397347,5.14377786046831
48,16.7124365255148,5.03231802483863,5.03231773760523,5.03231784096591
48.5,16.7191044316715,4.92421768523282,4.92421770626289,4.92421799375233
49,16.7245471353932,4.81933504190716,4.81933492404138,4.81933501709301
49.5,16.7287903606967,4.71753462228503,4.71753481923014,4.71753477892597
50,16.7318588344768,4.61868995099171,4.61868981281388,4.61868985905923
50.5,16.7337763362236,4.5226800373516,4.5226799589918,4.52267991319624
51,16.7345657448144,4.42939152278874,4.4293916014184,4.42939135893115
51.5,16.7342490825787,4.33871694335558,4.33871708075627,4.33871735454029
52,16.7328475568206,4.25055433802858,4.25055421512832,4.25055414427788
52.5,16.7303815989674,4.16480667169752,4.16480644939161,4.16480661310581
53,16.7268709015009,4.08138220108472,4.08138214917725,4.08138209673441
53.5,16.722334452817,4.00019391382427,4.0001938860358,4.000193902252
54,16.7167905701487,3.92115903486538,3.92115900880483,3.92115899508282
54.5,16.710256930674,3.84419856824262,3.84419847473545,3.84419868026715
55,16.7027506009284,3.76923756980233,3.76923773795712,3.76923767058399
55.5,16.6942880646241,3.69620512618955,3.69620510790755,3.69620496492781
56,16.6848852489804,3.62503300129567,3.6250329816457,3.62503285078379
56.5,16.6745575496533,3.55565575245876,3.55565594847319,3.55565586920643
57,16.6633198543527,3.48801234235233,3.48801242411327,3.48801238278865
57.5,16.6511865652271,3.42204358949684,3.42204348208691,3.42204352733404
58,16.6381716200881,3.35769281099011,3.35769309284532,3.35769285329347
58.5,16.6242885125472,3.29490639394779,3.29490644014354,3.2949065044692
59,16.6095503111263,3.23363268779024,3.2336328039595,3.23363270298039
59.5,16.5939696774047,3.17382272949106,3.17382274591722,3.17382258465221
60,16.5775588832577,3.11542892672409,3.11542892096305,3.11542887373578
